trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.95, 'e': 0.11018311023500528}",25,11,24.737466003618334,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.95, 'e': 0.10467395472325501}",30,15,26.85438513875571,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.95, 'e': 0.09944025698709225}",25,16,15.473976397353841,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.95, 'e': 0.09446824413773763}",25,11,23.744712182417913,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.95, 'e': 0.08974483193085075}",30,13,31.488729122559633,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.95, 'e': 0.0852575903343082}",20,0,28.56731843415417,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.95, 'e': 0.0809947108175928}",20,10,15.459867604874358,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.95, 'e': 0.07694497527671315}",25,0,31.788194540110492,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.95, 'e': 0.07309772651287749}",25,16,16.330597072026716,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.95, 'e': 0.06944284018723361}",25,12,9.483915219874934,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.95, 'e': 0.06597069817787193}",20,10,18.60587355729276,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.95, 'e': 0.06267216326897833}",25,10,23.066028623423264,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.05953855510552941}",20,8,18.576045256810698,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.95, 'e': 0.056561627350252934}",25,12,23.669794254510332,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.95, 'e': 0.053733545982740286}",30,13,28.988544206822244,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.95, 'e': 0.051046868683603266}",25,12,15.3808446487737,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.95, 'e': 0.048494525249423104}",20,10,17.49768859605108,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.95, 'e': 0.046069798986951946}",20,14,7.809747249275329,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.95, 'e': 0.043766309037604346}",20,0,15.078431135342003,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.95, 'e': 0.04157799358572413}",25,13,22.31702301269059,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.95, 'e': 0.03949909390643792}",20,0,25.255613273092653,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.95, 'e': 0.03752413921111602}",20,16,6.918996345418661,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.95, 'e': 0.03564793225056022}",35,13,24.66492870381564,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.95, 'e': 0.033865535638032206}",20,10,17.58755390643577,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.95, 'e': 0.03217225885613059}",20,6,7.565656031593785,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.95, 'e': 0.030563645913324063}",20,12,5.200744003552107,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.95, 'e': 0.02903546361765786}",20,14,9.924003362781844,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.95, 'e': 0.027583690436774964}",20,2,24.384868860259846,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.95, 'e': 0.026204505914936217}",30,20,20.301187599699496,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.95, 'e': 0.024894280619189402}",20,1,29.201784280889346,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.95, 'e': 0.023649566588229934}",35,5,49.039978043448954,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.95, 'e': 0.022467088258818435}",20,14,14.026053899797265,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.95, 'e': 0.02134373384587751}",35,7,33.19319006239879,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.95, 'e': 0.020276547153583634}",35,25,16.78859762576188,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.95, 'e': 0.01926271979590445}",30,13,25.871189842413205,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.95, 'e': 0.01829958380610923}",20,12,12.61666210436002,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.95, 'e': 0.017384604615803767}",20,0,27.815612679153343,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.95, 'e': 0.01651537438501358}",30,21,17.779763149410286,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.95, 'e': 0.0156896056657629}",20,10,17.458415817538697,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.95, 'e': 0.014905125382474753}",20,0,24.118185714437292,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.95, 'e': 0.014159869113351015}",25,15,20.111323405768996,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.95, 'e': 0.013451875657683464}",20,0,33.145778097533515,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.95, 'e': 0.012779281874799289}",25,19,11.939942844821694,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.95, 'e': 0.012140317781059324}",20,9,15.137013034386685,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.95, 'e': 0.011533301892006357}",30,4,44.242675622525596,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.95, 'e': 0.01095663679740604}",30,13,21.220310172623503,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.95, 'e': 0.010408804957535737}",30,19,18.04783503799778,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.95, 'e': 0.00988836470965895}",25,3,36.62938192340811,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.95, 'e': 0.009393946474176}",25,19,8.549764311802065,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.95, 'e': 0.008924249150467202}",25,0,35.79698392569468,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.95, 'e': 0.00847803669294384}",20,15,7.284639561239462,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.95, 'e': 0.008054134858296648}",30,9,34.274183785230534,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.95, 'e': 0.007651428115381815}",20,12,13.69200628295395,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.95, 'e': 0.007268856709612724}",20,13,15.43653078678679,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.95, 'e': 0.006905413874132088}",20,11,16.86643264933798,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.95, 'e': 0.006560143180425483}",25,13,16.206566859893396,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.95, 'e': 0.006232136021404208}",30,19,18.185324622874116,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.95, 'e': 0.0059205292203339975}",20,15,10.590438206844796,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.95, 'e': 0.005624502759317297}",20,5,22.953504107572453,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.95, 'e': 0.0053432776213514326}",20,11,20.344067680839807,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.95, 'e': 0.00507611374028386}",30,16,27.759606827557306,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.95, 'e': 0.004822308053269667}",20,8,22.11677147586516,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
